"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type","日本語返却値/Japanese Display Values","英語返却値/English Display Values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","LONG",,"Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING",,"Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG",,"Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",,"Attribute","","",""
"CAMPAIGN_USER_STATUS","キャンペーン配信設定","Campaign delivery settings","campaignUserStatus","STRING",,"Attribute","オン,オフ","On,Off",""
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG","[BUDGET_LOST_IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS]","Attribute","","",""
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING","[BUDGET_LOST_IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS]","Attribute","","",""
"ADGROUP_USER_STATUS","広告グループ配信設定","Ad group delivery settings","adGroupUserStatus","STRING","[BUDGET_LOST_IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS]","Attribute","オン,オフ","On,Off",""
"AD_ID","広告ID","Ad ID","adID","LONG","[BUDGET_LOST_IMPRESSION_SHARE, IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, RANK_LOST_IMPRESSION_SHARE]","Attribute","","",""
"AD_NAME","広告名","Ad Name","adName","STRING","[BUDGET_LOST_IMPRESSION_SHARE, IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, RANK_LOST_IMPRESSION_SHARE]","Attribute","","",""
"AD_TYPE","広告タイプ","Ad type","adType","STRING","[BUDGET_LOST_IMPRESSION_SHARE, IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, RANK_LOST_IMPRESSION_SHARE]","Attribute","テキスト,バナー,レスポンシブ,動的ディスプレイ,カルーセル,インストリーム,ブランドパネル クインティ,ブランドパネル パノラマ,トップインパクト スクエア,トップインパクト クインティ,トップインパクト パノラマ,トップインパクト プライムディスプレイ ダブル,トップインパクト パノラマ サイドビジョン,トップインパクト パノラマ サイドスイッチ,トップインパクト シアター,ブランドパネル パノラマ パネルスイッチ,トップインパクト パノラマ パネルスイッチ,トップページ トピックスPR,-","Text,Banner,Responsive,Dynamic display,Carousel,In-stream,Brand Panel Quintuple,Brand Panel Panorama,Top Impact Square,Top Impact Quintuple,Top Impact Panorama,Top Impact Prime Display Double,Top Impact Panorama Side Vision,Top Impact Panorama Side Switch,Top Impact Theater,Brand Panel Panorama Panel-switch,Top Impact Panorama Panel-switch,Top Page Topics PR,-",""
"AD_USER_STATUS","広告配信設定","Ad delivery settings","adUserStatus","STRING","[BUDGET_LOST_IMPRESSION_SHARE, IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, RANK_LOST_IMPRESSION_SHARE]","Attribute","オン,オフ","On,Off",""
"PREF_ID","都道府県ID","Prefecture ID","prefectureID","STRING","[BUDGET_LOST_IMPRESSION_SHARE, CONVERSION_GROUP_ID, CONVERSION_GROUP_NAME, IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, RADIUS_DISTANCE, RADIUS_TARGET, RANK_LOST_IMPRESSION_SHARE]","Segment","","","このフィールドは非推奨です。将来削除される予定です。 / This field is deprecated and will be removed in a future version."
"PREFECTURE_ID","都道府県ID","Prefecture ID","prefectureID","STRING","[BUDGET_LOST_IMPRESSION_SHARE, CONVERSION_GROUP_ID, CONVERSION_GROUP_NAME, IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, RADIUS_DISTANCE, RADIUS_TARGET, RANK_LOST_IMPRESSION_SHARE]","Segment","","",""
"PREF_NAME","都道府県","Prefectures","prefecture","STRING","[BUDGET_LOST_IMPRESSION_SHARE, CONVERSION_GROUP_ID, CONVERSION_GROUP_NAME, IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, RADIUS_DISTANCE, RADIUS_TARGET, RANK_LOST_IMPRESSION_SHARE]","Segment","","","このフィールドは非推奨です。将来削除される予定です。 / This field is deprecated and will be removed in a future version."
"PREFECTURE","都道府県","Prefectures","prefecture","STRING","[BUDGET_LOST_IMPRESSION_SHARE, CONVERSION_GROUP_ID, CONVERSION_GROUP_NAME, IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, RADIUS_DISTANCE, RADIUS_TARGET, RANK_LOST_IMPRESSION_SHARE]","Segment","","",""
