"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type","日本語返却値/Japanese Display Values","英語返却値/English Display Values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","LONG",,"Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING",,"Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG",,"Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",,"Attribute","","",""
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG","[IMPRESSION_SHARE_BUDGET_LOSS]","Attribute","","",""
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING","[IMPRESSION_SHARE_BUDGET_LOSS]","Attribute","","",""
"AD_ID","広告ID","Ad ID","adID","LONG","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Attribute","","",""
"AD_NAME","広告名","Ad Name","adName","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Attribute","","",""
"AD_TYPE","広告タイプ","Ad Type","adType","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Attribute","テキスト（説明文19-19）,テキスト（説明文33）,ショートテキスト（14・19）,ショートテキスト（12・12）,掲載位置指定テキスト,テキスト（15・90）,レスポンシブ（画像）,広告枠サイズ固定（300×250）,動的ディスプレイ,レスポンシブ（動画）,バナー（動画）,ブランドパネル クインティ,ブランドパネル クインティ 動画,ブランドパネル パノラマ,ブランドパネル パノラマ 動画,トップインパクト スクエア,トップインパクト スクエア 動画,トップインパクト クインティ,トップインパクト クインティ 動画,トップインパクト パノラマ,トップインパクト パノラマ 動画,バナー（画像）","Text (description 19-19),Text (description 33),Short Ad(14-19),Short Ad(12-12),Placement Text Ad,Text Ad(15-90),Responsive (image),Static Frame(300×250),Dynamic,Responsive (video),Banner (video),Brand Panel Quintuple,Brand Panel Quintuple Video,Brand Panel Panorama,Brand Panel Panorama Video,Top Impact Square,Top Impact Square Video,Top Impact Quintuple,Top Impact Quintuple Video,Top Impact Panorama,Top Impact Panorama Video,Banner (image)",""
"URL_ID","リンク先URLID","Destination URL ID","destinationURLID","LONG","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Segment","","",""
"URL_NAME","リンク先URL","Destination URL","destinationURL","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Segment","","",""
"PREF_ID","都道府県ID","Prefecture ID","prefectureID","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","","",""
"PREF_NAME","都道府県","Prefectures","prefecture","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","","",""
"CITY_ID","市区郡ID","City ID","cityID","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","","",""
"CITY_NAME","市区郡","City","city","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","","",""
"WARD_ID","行政区ID","Ward ID","wardID","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","","",""
"WARD_NAME","行政区","Ward","ward","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","","",""
"GENDER","性別","Gender","gender","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","男性,女性,不明,男性（推定）,女性（推定）","Male,Female,Unknown,Male (predicted),Female (predicted)",""
"AGE","年齢","Age","age","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS]","Segment","～12歳,13歳～14歳,15歳～17歳,18歳～19歳,20歳～21歳,22歳～29歳,30歳～39歳,40歳～49歳,50歳～59歳,60歳～69歳,70歳～,不明,～12歳（推定）,13歳～14歳（推定）,15歳～17歳（推定）,18歳～19歳（推定）,20歳～21歳（推定）,22歳～29歳（推定）,30歳～39歳（推定）,40歳～49歳（推定）,50歳～59歳（推定）,60歳～69歳（推定）,70歳～（推定）","Age / Under 13,Age / 13-14,Age / 15-17,Age / 18-19,Age / 20-21,Age / 22-29,Age / 30s,Age / 40s,Age / 50s,Age / 60s,Age / Over 70,Unknown,Age / Under 13 (predicted),Age / 13-14 (predicted),Age / 15-17 (predicted),Age / 18-19 (predicted),Age / 20-21 (predicted),Age / 22-29 (predicted),Age / 30s (predicted),Age / 40s (predicted),Age / 50s (predicted),Age / 60s (predicted),Age / Over 70 (predicted)",""
"MONTH","月","Month","month","STRING",,"Segment","","",""
"DAY","日","Daily","day","STRING",,"Segment","","",""
"HOUR","時間","Hourly","hourofday","LONG",,"Segment","","",""
"DELIVER","広告掲載方式","Ad Distribution","deliverName","STRING",,"Attribute","インタレストマッチ（2008年版）,インタレストマッチ,ターゲティング,その他の広告,モバイル,トップページプロモーション,センターテキスト,リーディングテキスト,サイトリターゲティング,フルバナー,ミディアムレクタングル,スマートフォンバナー,映像広告（ターゲティング配信）,[特別] トップ編集枠,[特別] トップ編集枠サイトリターゲティング,iPROS広告,アプリインストール広告（スマートフォントップパネル）,アプリインストール広告,クリエイティブ自動作成広告,モバイルバナー,モバイル予備2,モバイル予備3,モバイル予備4,モバイル予備5,モバイル予備6,モバイル予備7,モバイル予備8,モバイル予備9,モバイル予備10,[特別] フルバナー,[特別] ミディアムレクタングル,[特別] スマートフォントップバナー,アダルト広告（マッチング配信）,アダルト広告（ノンターゲティング配信）,Crocosキャンペーン広告,Links for Good,トップページプロモーション サイトリターゲティング,[特別] スマートフォントップパネル,[特別] スマートフォントップパネル サイトリターゲティング,[特別] スマートフォントップバナー サイトリターゲティング,特定コンテンツ専用広告,バナー,アイコンバナー,インタースティシャル,インフィード,インフィード広告,自社広告,Yahoo!リサーチ,[特別] 出店者様限定広告,TRILL Ads,[特別] アイコンバナー,[特別] リテンション,動的ディスプレイ広告,動画広告,ウルトラ集客,動的ディスプレイ広告（自社広告）,PCブランドパネル（静止画）,PCブランドパネル（動画）,PCブランドパネル（動的ディスプレイ広告）,自社稿,--","InterestMatch(2008),InterestMatch,Targeting,Other,Mobile,Top Page Promotion,Center Text,Leading Text,Site Retargeting,Full Banner,Medium Rectangle,Smartphone Banner,Video Targeting,Special YTOP Editorial Position,Special YTOP Editorial Position Site Retargeting,iPROS Ads,App Install Ads (Smartphone Top Panel),App Install Ads,Dynamic Creative Ads,Mobile Banner,mobileyobi2,mobileyobi3,mobileyobi4,mobileyobi5,mobileyobi6,mobileyobi7,mobileyobi8,mobileyobi9,mobileyobi10,Special Full Banner,Special Medium Rectangle,Special Smartphone Top Banner,Adult Ads(Matching),Adult Ads(Non Targeting),Crocos Campaign Ads,Links for Good,Top Page Promotion Site Retargeting,Special Smartphone Top Panel,Special Smartphone Top Panel Site Retargeting,Special Smartphone Top Banner Site Retargeting,Specific Contents Ads,Banner,Icon Banner,Interstitial,In-Feed,Infeed Ads,House Ads,Yahoo! JAPAN Research,Special Ads for Shopping Merchant,TRILL Ads,[Special] Icon Banner,[Special] Retention,Dynamic Ads for Display,Video Ads,Ultra Ads,Dynamic Ads for Display (House Ads),PC Brand Panel (Image),PC Brand Panel (Video),PC Brand Panel (Dynamic Ads for Display),HOUSE_AD,--",""
"DEVICE","デバイス","Device","device","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Segment","PC,モバイル,その他,スマートフォン,タブレット端末","PC,Mobile,Other,SmartPhone,Tablet",""
"AD_STYLE","掲載フォーマット（画像タイプ）","Ad Style (Image Type)","adStyle","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Segment","テキスト,ディスプレイ（静止画）,ディスプレイ（アニメーション）,テンプレート（静止画）,動画","Text Ad,Display Ad (Static Image),Display Ad (Animated),Template Ad (Static Image),Video Ad",""
"MEDIA_ID","メディアID","Media ID","mediaID","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Segment","","",""
"MEDIA_NAME","メディア名","Media Name","mediaName","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Segment","","",""
"MEDIA_FILE_NAME","ファイル名","File Name","fileName","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Segment","","",""
"MEDIA_AD_FORMAT","ピクセルサイズ","Pixel Size","pixelSize","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Segment","--,728x90,320x50,300x250,468x60,320x75,250x250,200x200,16x16,336x280,180x150,160x600,120x600,970x90,970x250,88x31,550x480,300x600,300x500,300x1050,120x60,320x100,57x57,512x512,480x320,320x480,1200x628,180x180,300x300,400x200,640x360,600x600,600x80,1000x250,600x100,720x90,955x500,170x1024,450x50","--,728x90,320x50,300x250,468x60,320x75,250x250,200x200,16x16,336x280,180x150,160x600,120x600,970x90,970x250,88x31,550x480,300x600,300x500,300x1050,120x60,320x100,57x57,512x512,480x320,320x480,1200x628,180x180,300x300,400x200,640x360,600x600,600x80,1000x250,600x100,720x90,955x500,170x1024,450x50",""
"AD_TITLE","タイトル","Title","title","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Attribute","","",""
