"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type","日本語返却値/Japanese Display Values","英語返却値/English Display Values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","LONG",,"Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING",,"Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignID","LONG",,"Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING",,"Attribute","","",""
"CAMPAIGN_USER_STATUS","キャンペーン配信設定","Campaign status","campaignUserStatus","STRING",,"Attribute","オン,オフ","On,Off",""
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG","[IMPRESSION_SHARE_BUDGET_LOSS]","Attribute","","",""
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING","[IMPRESSION_SHARE_BUDGET_LOSS]","Attribute","","",""
"ADGROUP_USER_STATUS","広告グループ配信設定","Ad group status","adGroupUserStatus","STRING","[IMPRESSION_SHARE_BUDGET_LOSS]","Attribute","オン,オフ","On,Off",""
"AD_ID","広告ID","Ad ID","adID","LONG","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Attribute","","",""
"AD_NAME","広告名","Ad Name","adName","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Attribute","","",""
"AD_TYPE","広告タイプ","Ad Type","adType","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Attribute","バナー（画像）,バナー（動画）,レスポンシブ（画像）,レスポンシブ（動画）,カルーセル（画像）,テキスト（説明文19-19）,テキスト（説明文33）,ショートテキスト（14・19）,ショートテキスト（12・12）,掲載位置指定テキスト,テキスト（15・90）,広告枠サイズ固定（300×250）,動的ディスプレイ,インストリーム,ブランドパネル クインティ,ブランドパネル クインティ 動画,ブランドパネル パノラマ,ブランドパネル パノラマ 動画,ブランドパネル パノラマ パネルスイッチ,トップインパクト スクエア,トップインパクト スクエア 動画,トップインパクト クインティ,トップインパクト クインティ 動画,トップインパクト パノラマ,トップインパクト パノラマ 動画,トップインパクト パノラマ サイドビジョン 動画,トップインパクト パノラマ サイドスイッチ 動画,トップインパクト パノラマ パネルスイッチ,トップインパクト シアター 動画,トップインパクト スクエア スペシャル,トップインパクト スクエア スペシャル 動画,トップインパクト プライムディスプレイ ダブル,トップインパクト プライムディスプレイ ダブル 動画","Banner (image),Banner (video),Responsive (image),Responsive (video),Carousel ad,Text (description 19-19),Text (description 33),Short Ad(14-19),Short Ad(12-12),Placement Text Ad,Text Ad(15-90),Static Frame(300×250),Dynamic,In-stream,Brand Panel Quintuple,Brand Panel Quintuple Video,Brand Panel Panorama,Brand Panel Panorama Video,Brand Panel Panorama Panel-switch,Top Impact Square,Top Impact Square Video,Top Impact Quintuple,Top Impact Quintuple Video,Top Impact Panorama,Top Impact Panorama Video,Top Impact Panorama Side Vision Video,Top Impact Panorama Side Switch Video,Top Impact Panorama Panel-switch,Top Impact Theater Video,Top Impact Square Special,Top Impact Square Special Video,Top Impact Prime Display Double,Top Impact Prime Display Double Video",""
"AD_USER_STATUS","広告配信設定","Ad status","adUserStatus","STRING","[IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS]","Attribute","オン,オフ","On,Off",""
"URL_ID","リンク先URLID","Destination URL ID","destinationURLID","LONG","[CONVERSION_GROUP_ID, CONVERSION_GROUP_NAME, FINAL_URL, IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, TRACKING_URL]","Segment","","",""
"URL_NAME","リンク先URL","Destination URL","destinationURL","STRING","[CONVERSION_GROUP_ID, CONVERSION_GROUP_NAME, FINAL_URL, IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, TRACKING_URL]","Segment","","",""
"PREF_ID","都道府県ID","Prefecture ID","prefectureID","STRING","[CONVERSION_GROUP_ID, CONVERSION_GROUP_NAME, IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS, RADIUS_DISTANCE, RADIUS_TARGET]","Segment","","",""
"PREF_NAME","都道府県","Prefectures","prefecture","STRING","[CONVERSION_GROUP_ID, CONVERSION_GROUP_NAME, IMPRESSION_SHARE, IMPRESSION_SHARE_BUDGET_LOSS, IMPRESSION_SHARE_RANK_LOSS, INVIEW_CLICK, INVIEW_CLICK_RATE, INVIEW_RATE, TOTAL_VIEWABLE_IMPS, RADIUS_DISTANCE, RADIUS_TARGET]","Segment","","",""
