"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not Compatible Fields","動作区分/Behavior Type","日本語返却値/Japanese Display Values","英語返却値/English Display Values","備考/Note"
"TOUCHPOINT_1","接点1のキャンペーン","Campaign for touchpoint 1","campaignForTouchpoint1","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_1","接点1の行動","Interaction At Touchpoint1","interactionAtTouchpoint1","STRING",,"Attribute","","",""
"TOUCHPOINT_1_INTERACTIONS","接点1の回数","Touchpoint 1 Interactions","touchpoint1Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_1_ACCOUNT","接点1のアカウント","Account for touchpoint 1","accountForTouchpoint1","STRING",,"Attribute","","",""
"TOUCHPOINT_2","接点2のキャンペーン","Campaign for touchpoint 2","campaignForTouchpoint2","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_2","接点2の行動","Interaction At Touchpoint2","interactionAtTouchpoint2","STRING",,"Attribute","","",""
"TOUCHPOINT_2_INTERACTIONS","接点2の回数","Touchpoint 2 Interactions","touchpoint2Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_2_ACCOUNT","接点2のアカウント","Account for touchpoint 2","accountForTouchpoint2","STRING",,"Attribute","","",""
"TOUCHPOINT_3","接点3のキャンペーン","Campaign for touchpoint 3","campaignForTouchpoint3","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_3","接点3の行動","Interaction At Touchpoint3","interactionAtTouchpoint3","STRING",,"Attribute","","",""
"TOUCHPOINT_3_INTERACTIONS","接点3の回数","Touchpoint 3 Interactions","touchpoint3Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_3_ACCOUNT","接点3のアカウント","Account for touchpoint 3","accountForTouchpoint3","STRING",,"Attribute","","",""
"TOUCHPOINT_4","接点4のキャンペーン","Campaign for touchpoint 4","campaignForTouchpoint4","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_4","接点4の行動","Interaction At Touchpoint4","interactionAtTouchpoint4","STRING",,"Attribute","","",""
"TOUCHPOINT_4_INTERACTIONS","接点4の回数","Touchpoint 4 Interactions","touchpoint4Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_4_ACCOUNT","接点4のアカウント","Account for touchpoint 4","accountForTouchpoint4","STRING",,"Attribute","","",""
"TOUCHPOINT_5","接点5のキャンペーン","Campaign for touchpoint 5","campaignForTouchpoint5","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_5","接点5の行動","Interaction At Touchpoint5","interactionAtTouchpoint5","STRING",,"Attribute","","",""
"TOUCHPOINT_5_INTERACTIONS","接点5の回数","Touchpoint 5 Interactions","touchpoint5Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_5_ACCOUNT","接点5のアカウント","Account for touchpoint 5","accountForTouchpoint5","STRING",,"Attribute","","",""
"TOUCHPOINT_6","接点6のキャンペーン","Campaign for touchpoint 6","campaignForTouchpoint6","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_6","接点6の行動","Interaction At Touchpoint6","interactionAtTouchpoint6","STRING",,"Attribute","","",""
"TOUCHPOINT_6_INTERACTIONS","接点6の回数","Touchpoint 6 Interactions","touchpoint6Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_6_ACCOUNT","接点6のアカウント","Account for touchpoint 6","accountForTouchpoint6","STRING",,"Attribute","","",""
"TOUCHPOINT_7","接点7のキャンペーン","Campaign for touchpoint 7","campaignForTouchpoint7","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_7","接点7の行動","Interaction At Touchpoint7","interactionAtTouchpoint7","STRING",,"Attribute","","",""
"TOUCHPOINT_7_INTERACTIONS","接点7の回数","Touchpoint 7 Interactions","touchpoint7Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_7_ACCOUNT","接点7のアカウント","Account for touchpoint 7","accountForTouchpoint7","STRING",,"Attribute","","",""
"TOUCHPOINT_8","接点8のキャンペーン","Campaign for touchpoint 8","campaignForTouchpoint8","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_8","接点8の行動","Interaction At Touchpoint8","interactionAtTouchpoint8","STRING",,"Attribute","","",""
"TOUCHPOINT_8_INTERACTIONS","接点8の回数","Touchpoint 8 Interactions","touchpoint8Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_8_ACCOUNT","接点8のアカウント","Account for touchpoint 8","accountForTouchpoint8","STRING",,"Attribute","","",""
"TOUCHPOINT_9","接点9のキャンペーン","Campaign for touchpoint 9","campaignForTouchpoint9","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_9","接点9の行動","Interaction At Touchpoint9","interactionAtTouchpoint9","STRING",,"Attribute","","",""
"TOUCHPOINT_9_INTERACTIONS","接点9の回数","Touchpoint 9 Interactions","touchpoint9Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_9_ACCOUNT","接点9のアカウント","Account for touchpoint 9","accountForTouchpoint9","STRING",,"Attribute","","",""
"TOUCHPOINT_10","接点10のキャンペーン","Campaign for touchpoint 10","campaignForTouchpoint10","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_10","接点10の行動","Interaction At Touchpoint10","interactionAtTouchpoint10","STRING",,"Attribute","","",""
"TOUCHPOINT_10_INTERACTIONS","接点10の回数","Touchpoint 10 Interactions","touchpoint10Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_10_ACCOUNT","接点10のアカウント","Account for touchpoint 10","accountForTouchpoint10","STRING",,"Attribute","","",""
"TOUCHPOINT_11","接点11のキャンペーン","Campaign for touchpoint 11","campaignForTouchpoint11","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_11","接点11の行動","Interaction At Touchpoint11","interactionAtTouchpoint11","STRING",,"Attribute","","",""
"TOUCHPOINT_11_INTERACTIONS","接点11の回数","Touchpoint 11 Interactions","touchpoint11Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_11_ACCOUNT","接点11のアカウント","Account for touchpoint 11","accountForTouchpoint11","STRING",,"Attribute","","",""
"TOUCHPOINT_12","接点12のキャンペーン","Campaign for touchpoint 12","campaignForTouchpoint12","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_12","接点12の行動","Interaction At Touchpoint12","interactionAtTouchpoint12","STRING",,"Attribute","","",""
"TOUCHPOINT_12_INTERACTIONS","接点12の回数","Touchpoint 12 Interactions","touchpoint12Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_12_ACCOUNT","接点12のアカウント","Account for touchpoint 12","accountForTouchpoint12","STRING",,"Attribute","","",""
"TOUCHPOINT_13","接点13のキャンペーン","Campaign for touchpoint 13","campaignForTouchpoint13","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_13","接点13の行動","Interaction At Touchpoint13","interactionAtTouchpoint13","STRING",,"Attribute","","",""
"TOUCHPOINT_13_INTERACTIONS","接点13の回数","Touchpoint 13 Interactions","touchpoint13Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_13_ACCOUNT","接点13のアカウント","Account for touchpoint 13","accountForTouchpoint13","STRING",,"Attribute","","",""
"TOUCHPOINT_14","接点14のキャンペーン","Campaign for touchpoint 14","campaignForTouchpoint14","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_14","接点14の行動","Interaction At Touchpoint14","interactionAtTouchpoint14","STRING",,"Attribute","","",""
"TOUCHPOINT_14_INTERACTIONS","接点14の回数","Touchpoint 14 Interactions","touchpoint14Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_14_ACCOUNT","接点14のアカウント","Account for touchpoint 14","accountForTouchpoint14","STRING",,"Attribute","","",""
"TOUCHPOINT_15","接点15のキャンペーン","Campaign for touchpoint 15","campaignForTouchpoint15","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_15","接点15の行動","Interaction At Touchpoint15","interactionAtTouchpoint15","STRING",,"Attribute","","",""
"TOUCHPOINT_15_INTERACTIONS","接点15の回数","Touchpoint 15 Interactions","touchpoint15Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_15_ACCOUNT","接点15のアカウント","Account for touchpoint 15","accountForTouchpoint15","STRING",,"Attribute","","",""
"TOUCHPOINT_16","接点16のキャンペーン","Campaign for touchpoint 16","campaignForTouchpoint16","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_16","接点16の行動","Interaction At Touchpoint16","interactionAtTouchpoint16","STRING",,"Attribute","","",""
"TOUCHPOINT_16_INTERACTIONS","接点16の回数","Touchpoint 16 Interactions","touchpoint16Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_16_ACCOUNT","接点16のアカウント","Account for touchpoint 16","accountForTouchpoint16","STRING",,"Attribute","","",""
"TOUCHPOINT_17","接点17のキャンペーン","Campaign for touchpoint 17","campaignForTouchpoint17","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_17","接点17の行動","Interaction At Touchpoint17","interactionAtTouchpoint17","STRING",,"Attribute","","",""
"TOUCHPOINT_17_INTERACTIONS","接点17の回数","Touchpoint 17 Interactions","touchpoint17Interactions","LONG",,"Attribute","","",""
"TOUCHPOINT_17_ACCOUNT","接点17のアカウント","Account for touchpoint 17","accountForTouchpoint17","STRING",,"Attribute","","",""
"TOUCHPOINT_18","接点18のキャンペーン","Campaign for touchpoint 18","campaignForTouchpoint18","STRING",,"Attribute","","",""
"INTERACTION_AT_TOUCHPOINT_18","接点18の行動","Interaction At Touchpoint18","interactionAtTouchpoint18","STRING",,"Attribute","","",""
